,tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical
0,2021-01-01,DKI1 (Bunderan HI),38,53,29,6,31,13,53,PM25
1,2021-01-02,DKI1 (Bunderan HI),27,46,27,7,47,7,47,O3
2,2021-01-03,DKI1 (Bunderan HI),44,58,25,7,40,13,58,PM25
3,2021-01-04,DKI1 (Bunderan HI),30,48,24,4,32,7,48,PM25
4,2021-01-05,DKI1 (Bunderan HI),38,53,24,6,31,9,53,PM25
5,2021-01-06,DKI1 (Bunderan HI),41,58,23,13,46,13,58,PM25
6,2021-01-07,DKI1 (Bunderan HI),35,47,22,6,39,10,47,PM25
7,2021-01-08,DKI1 (Bunderan HI),37,54,26,16,17,10,54,PM25
8,2021-01-09,DKI1 (Bunderan HI),47,61,16,27,22,12,61,PM25
9,2021-01-10,DKI1 (Bunderan HI),23,25,16,11,33,8,33,O3
10,2021-01-11,DKI1 (Bunderan HI),38,54,17,14,27,10,54,PM25
11,2021-01-12,DKI1 (Bunderan HI),29,50,20,12,26,15,50,PM25
12,2021-01-13,DKI1 (Bunderan HI),34,44,17,13,20,9,44,PM25
13,2021-01-14,DKI1 (Bunderan HI),36,57,15,15,26,13,57,PM25
14,2021-01-15,DKI1 (Bunderan HI),42,62,14,15,32,12,62,PM25
15,2021-01-16,DKI1 (Bunderan HI),52,73,15,17,25,14,73,PM25
16,2021-01-17,DKI1 (Bunderan HI),52,71,17,15,26,14,71,PM25
17,2021-01-18,DKI1 (Bunderan HI),40,52,16,11,26,12,52,PM25
18,2021-01-19,DKI1 (Bunderan HI),31,41,13,12,25,12,41,PM25
19,2021-01-20,DKI1 (Bunderan HI),35,34,12,12,22,13,35,PM10
20,2021-01-21,DKI1 (Bunderan HI),43,51,13,14,28,15,51,PM25
21,2021-01-22,DKI1 (Bunderan HI),49,63,14,14,28,15,63,PM25
22,2021-01-23,DKI1 (Bunderan HI),72,108,14,43,44,20,108,PM25
23,2021-01-24,DKI1 (Bunderan HI),33,48,12,14,23,10,48,PM25
24,2021-01-25,DKI1 (Bunderan HI),56,82,13,29,62,15,82,PM25
25,2021-01-26,DKI1 (Bunderan HI),52,70,14,19,28,13,70,PM25
26,2021-01-27,DKI1 (Bunderan HI),20,20,13,10,19,8,20,PM10
27,2021-01-28,DKI1 (Bunderan HI),27,41,14,18,17,11,41,PM25
28,2021-01-29,DKI1 (Bunderan HI),30,53,16,17,24,11,53,PM25
29,2021-01-30,DKI1 (Bunderan HI),27,37,13,16,24,12,37,PM25
30,2021-01-31,DKI1 (Bunderan HI),36,51,13,16,26,10,51,PM25
31,2021-02-01,DKI1 (Bunderan HI),59,79,21,26,15,31,79,PM25
32,2021-02-02,DKI1 (Bunderan HI),30,46,21,14,16,24,46,PM25
33,2021-02-03,DKI1 (Bunderan HI),23,33,19,11,14,19,33,PM25
34,2021-02-04,DKI1 (Bunderan HI),36,53,23,14,12,24,53,PM25
35,2021-02-05,DKI1 (Bunderan HI),29,36,20,14,12,21,36,PM25
36,2021-02-06,DKI1 (Bunderan HI),27,34,21,8,21,15,34,PM25
37,2021-02-07,DKI1 (Bunderan HI),25,23,19,7,19,12,25,PM10
38,2021-02-08,DKI1 (Bunderan HI),24,26,19,10,18,17,26,PM25
