,tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical
39,2021-02-09,DKI1 (Bunderan HI),33,40,22,12,14,22,40,PM25
40,2021-02-10,DKI1 (Bunderan HI),32,38,21,10,12,16,38,PM25
41,2021-02-11,DKI1 (Bunderan HI),26,37,23,13,9,17,37,PM25
42,2021-02-12,DKI1 (Bunderan HI),41,52,26,16,10,16,52,PM25
43,2021-02-13,DKI1 (Bunderan HI),25,37,20,9,19,16,37,PM25
44,2021-02-14,DKI1 (Bunderan HI),33,47,18,11,19,19,47,PM25
45,2021-02-15,DKI1 (Bunderan HI),34,47,20,13,17,25,47,PM25
46,2021-02-16,DKI1 (Bunderan HI),26,28,18,11,18,26,28,PM25
47,2021-02-17,DKI1 (Bunderan HI),39,57,23,23,12,33,57,PM25
48,2021-02-18,DKI1 (Bunderan HI),43,59,29,13,12,29,59,PM25
49,2021-02-19,DKI1 (Bunderan HI),29,41,19,20,12,23,41,PM25
50,2021-02-20,DKI1 (Bunderan HI),30,38,18,11,18,20,38,PM25
51,2021-02-21,DKI1 (Bunderan HI),31,45,18,10,16,17,45,PM25
52,2021-02-22,DKI1 (Bunderan HI),51,67,20,18,11,23,67,PM25
53,2021-02-23,DKI1 (Bunderan HI),50,64,22,11,20,23,64,PM25
54,2021-02-24,DKI1 (Bunderan HI),30,42,22,10,9,16,42,PM25
55,2021-02-25,DKI1 (Bunderan HI),31,48,26,12,14,17,48,PM25
56,2021-02-26,DKI1 (Bunderan HI),29,38,18,13,18,20,38,PM25
57,2021-02-27,DKI1 (Bunderan HI),49,67,23,15,17,31,67,PM25
58,2021-02-28,DKI1 (Bunderan HI),43,60,19,12,19,18,60,PM25
59,2021-03-01,DKI1 (Bunderan HI),37,60,20,12,12,17,60,PM25
60,2021-03-02,DKI1 (Bunderan HI),38,55,20,15,14,28,55,PM25
61,2021-03-03,DKI1 (Bunderan HI),49,67,19,21,17,35,67,PM25
62,2021-03-04,DKI1 (Bunderan HI),51,75,22,18,19,31,75,PM25
63,2021-03-05,DKI1 (Bunderan HI),52,69,20,16,16,30,69,PM25
64,2021-03-06,DKI1 (Bunderan HI),51,73,20,22,15,37,73,PM25
65,2021-03-07,DKI1 (Bunderan HI),57,88,23,23,19,31,88,PM25
66,2021-03-08,DKI1 (Bunderan HI),47,63,21,16,11,19,63,PM25
67,2021-03-09,DKI1 (Bunderan HI),36,50,23,15,10,22,50,PM25
68,2021-03-10,DKI1 (Bunderan HI),45,65,20,20,14,27,65,PM25
69,2021-03-11,DKI1 (Bunderan HI),27,35,19,9,15,21,35,PM25
70,2021-03-12,DKI1 (Bunderan HI),44,58,24,12,13,25,58,PM25
71,2021-03-13,DKI1 (Bunderan HI),37,62,27,13,13,25,62,PM25
72,2021-03-14,DKI1 (Bunderan HI),39,60,23,14,10,19,60,PM25
73,2021-03-15,DKI1 (Bunderan HI),45,70,29,18,13,34,70,PM25
74,2021-03-16,DKI1 (Bunderan HI),55,80,32,13,21,36,80,PM25
75,2021-03-17,DKI1 (Bunderan HI),59,93,25,19,20,45,93,PM25
76,2021-03-18,DKI1 (Bunderan HI),64,102,30,15,25,40,102,PM25
77,2021-03-19,DKI1 (Bunderan HI),60,88,29,14,24,35,88,PM25
78,2021-03-20,DKI1 (Bunderan HI),55,80,28,16,19,31,80,PM25
79,2021-03-21,DKI1 (Bunderan HI),43,55,21,11,18,17,55,PM25
80,2021-03-22,DKI1 (Bunderan HI),38,61,21,13,14,18,61,PM25
81,2021-03-23,DKI1 (Bunderan HI),37,54,23,11,12,16,54,PM25
82,2021-03-24,DKI1 (Bunderan HI),32,53,21,10,9,15,53,PM25
83,2021-03-25,DKI1 (Bunderan HI),25,47,22,9,14,17,47,PM25
84,2021-03-26,DKI1 (Bunderan HI),50,69,23,19,19,28,69,PM25
85,2021-03-27,DKI1 (Bunderan HI),53,71,29,13,18,33,71,PM25
86,2021-03-28,DKI1 (Bunderan HI),54,75,20,15,31,31,75,PM25
87,2021-03-29,DKI1 (Bunderan HI),55,77,19,19,21,37,77,PM25
88,2021-03-30,DKI1 (Bunderan HI),53,69,24,15,14,30,69,PM25
89,2021-03-31,DKI1 (Bunderan HI),43,57,22,13,15,23,57,PM25
90,2021-04-01,DKI1 (Bunderan HI),26,42,22,11,13,19,42,PM25
91,2021-04-02,DKI1 (Bunderan HI),41,54,27,11,17,19,54,PM25
92,2021-04-03,DKI1 (Bunderan HI),25,42,20,8,18,22,42,PM25
93,2021-04-04,DKI1 (Bunderan HI),57,78,21,23,14,33,78,PM25
94,2021-04-05,DKI1 (Bunderan HI),52,69,22,15,18,27,69,PM25
95,2021-04-06,DKI1 (Bunderan HI),33,55,27,10,14,18,55,PM25
96,2021-04-07,DKI1 (Bunderan HI),30,47,25,11,13,19,47,PM25
97,2021-04-08,DKI1 (Bunderan HI),38,55,33,12,13,22,55,PM25
98,2021-04-09,DKI1 (Bunderan HI),54,69,26,14,15,28,69,PM25
99,2021-04-10,DKI1 (Bunderan HI),48,66,23,13,17,29,66,PM25
100,2021-04-11,DKI1 (Bunderan HI),45,68,31,12,25,31,68,PM25
101,2021-04-12,DKI1 (Bunderan HI),55,69,26,20,15,31,69,PM25
102,2021-04-13,DKI1 (Bunderan HI),55,68,23,18,21,40,68,PM25
103,2021-04-14,DKI1 (Bunderan HI),51,71,27,15,25,32,71,PM25
104,2021-04-15,DKI1 (Bunderan HI),56,74,24,24,21,40,74,PM25
105,2021-04-16,DKI1 (Bunderan HI),55,76,24,20,16,42,76,PM25
106,2021-04-17,DKI1 (Bunderan HI),65,101,24,19,19,41,101,PM25
107,2021-04-18,DKI1 (Bunderan HI),57,79,24,11,25,26,79,PM25
108,2021-04-19,DKI1 (Bunderan HI),63,92,25,14,26,30,92,PM25
109,2021-04-20,DKI1 (Bunderan HI),56,83,25,12,21,30,83,PM25
110,2021-04-21,DKI1 (Bunderan HI),63,87,24,19,14,37,87,PM25
111,2021-04-22,DKI1 (Bunderan HI),54,81,25,14,23,40,81,PM25
112,2021-04-23,DKI1 (Bunderan HI),66,99,25,16,21,42,99,PM25
113,2021-04-24,DKI1 (Bunderan HI),66,99,23,18,30,40,99,PM25
114,2021-04-25,DKI1 (Bunderan HI),63,86,24,15,17,36,86,PM25
115,2021-04-26,DKI1 (Bunderan HI),56,79,26,10,22,24,79,PM25
116,2021-04-27,DKI1 (Bunderan HI),62,94,26,12,23,28,94,PM25
117,2021-04-28,DKI1 (Bunderan HI),54,77,21,15,21,34,77,PM25
118,2021-04-29,DKI1 (Bunderan HI),57,71,23,17,18,38,71,PM25
119,2021-04-30,DKI1 (Bunderan HI),61,84,23,18,20,42,84,PM25
120,2021-05-01,DKI1 (Bunderan HI),52,71,23,10,20,33,71,PM25
121,2021-05-02,DKI1 (Bunderan HI),50,67,22,9,18,17,67,PM25
122,2021-05-03,DKI1 (Bunderan HI),53,70,26,10,20,20,70,PM25
123,2021-05-04,DKI1 (Bunderan HI),59,77,31,14,14,26,77,PM25
124,2021-05-05,DKI1 (Bunderan HI),58,82,22,18,14,38,82,PM25
125,2021-05-06,DKI1 (Bunderan HI),49,65,19,16,18,38,65,PM25
126,2021-05-07,DKI1 (Bunderan HI),54,70,20,26,19,45,70,PM25
127,2021-05-08,DKI1 (Bunderan HI),52,69,20,12,19,28,69,PM25
128,2021-05-09,DKI1 (Bunderan HI),41,57,18,9,26,21,57,PM25
129,2021-05-10,DKI1 (Bunderan HI),47,69,19,10,25,21,69,PM25
130,2021-05-11,DKI1 (Bunderan HI),60,88,24,12,25,24,88,PM25
131,2021-05-12,DKI1 (Bunderan HI),59,79,21,10,25,21,79,PM25
132,2021-05-13,DKI1 (Bunderan HI),70,110,24,14,24,20,110,PM25
133,2021-05-14,DKI1 (Bunderan HI),52,72,24,8,25,14,72,PM25
134,2021-05-15,DKI1 (Bunderan HI),51,67,26,11,20,19,67,PM25
135,2021-05-16,DKI1 (Bunderan HI),51,65,23,8,20,16,65,PM25
136,2021-05-17,DKI1 (Bunderan HI),47,65,22,11,24,24,65,PM25
137,2021-05-18,DKI1 (Bunderan HI),40,54,24,10,23,26,54,PM25
138,2021-05-19,DKI1 (Bunderan HI),52,69,23,17,19,36,69,PM25
139,2021-05-20,DKI1 (Bunderan HI),57,79,24,12,23,27,79,PM25
140,2021-05-21,DKI1 (Bunderan HI),52,76,24,15,22,34,76,PM25
141,2021-05-22,DKI1 (Bunderan HI),56,79,22,16,28,36,79,PM25
142,2021-05-23,DKI1 (Bunderan HI),60,91,24,21,27,37,91,PM25
143,2021-05-24,DKI1 (Bunderan HI),74,108,22,20,23,38,108,PM25
144,2021-05-25,DKI1 (Bunderan HI),44,60,23,15,23,35,60,PM25
145,2021-05-26,DKI1 (Bunderan HI),56,77,27,11,21,24,77,PM25
146,2021-05-27,DKI1 (Bunderan HI),51,64,27,8,16,20,64,PM25
147,2021-05-28,DKI1 (Bunderan HI),54,70,29,12,16,24,70,PM25
148,2021-05-29,DKI1 (Bunderan HI),56,76,23,14,17,32,76,PM25
149,2021-05-30,DKI1 (Bunderan HI),47,61,24,16,18,29,61,PM25
150,2021-05-31,DKI1 (Bunderan HI),55,73,21,15,19,33,73,PM25
151,2021-06-01,DKI1 (Bunderan HI),59,83,22,18,19,35,83,PM25
152,2021-06-02,DKI1 (Bunderan HI),59,84,21,20,24,38,84,PM25
153,2021-06-03,DKI1 (Bunderan HI),54,76,22,20,17,41,76,PM25
154,2021-06-04,DKI1 (Bunderan HI),63,87,20,13,14,30,87,PM25
155,2021-06-05,DKI1 (Bunderan HI),59,79,23,20,19,38,79,PM25
156,2021-06-06,DKI1 (Bunderan HI),59,83,22,15,19,32,83,PM25
157,2021-06-07,DKI1 (Bunderan HI),52,72,24,13,28,31,72,PM25
158,2021-06-08,DKI1 (Bunderan HI),58,80,26,16,24,38,80,PM25
159,2021-06-09,DKI1 (Bunderan HI),58,77,24,14,23,34,77,PM25
160,2021-06-10,DKI1 (Bunderan HI),66,89,23,23,18,47,89,PM25
161,2021-06-11,DKI1 (Bunderan HI),59,77,22,15,23,40,77,PM25
162,2021-06-12,DKI1 (Bunderan HI),57,77,24,17,27,35,77,PM25
163,2021-06-13,DKI1 (Bunderan HI),51,70,23,14,25,25,70,PM25
164,2021-06-14,DKI1 (Bunderan HI),58,82,25,13,22,26,82,PM25
165,2021-06-15,DKI1 (Bunderan HI),62,86,31,13,17,29,86,PM25
166,2021-06-16,DKI1 (Bunderan HI),56,74,39,18,13,35,74,PM25
167,2021-06-17,DKI1 (Bunderan HI),56,80,28,25,17,39,80,PM25
168,2021-06-18,DKI1 (Bunderan HI),64,84,29,17,16,34,84,PM25
169,2021-06-19,DKI1 (Bunderan HI),54,68,26,21,13,45,68,PM25
170,2021-06-20,DKI1 (Bunderan HI),75,109,33,25,21,44,109,PM25
171,2021-06-21,DKI1 (Bunderan HI),52,64,24,16,18,31,64,PM25
172,2021-06-22,DKI1 (Bunderan HI),44,58,27,15,16,32,58,PM25
173,2021-06-23,DKI1 (Bunderan HI),54,79,26,17,24,43,79,PM25
174,2021-06-24,DKI1 (Bunderan HI),65,90,31,17,17,39,90,PM25
175,2021-06-25,DKI1 (Bunderan HI),59,82,36,14,17,32,82,PM25
176,2021-06-26,DKI1 (Bunderan HI),54,66,31,10,21,23,66,PM25
177,2021-06-27,DKI1 (Bunderan HI),65,94,27,18,22,32,94,PM25
178,2021-06-28,DKI1 (Bunderan HI),55,79,24,18,26,38,79,PM25
179,2021-06-29,DKI1 (Bunderan HI),66,94,30,15,20,28,94,PM25
180,2021-06-30,DKI1 (Bunderan HI),65,94,26,19,19,38,94,PM25
181,2021-07-01,DKI1 (Bunderan HI),55,76,27,14,20,31,76,PM25
182,2021-07-02,DKI1 (Bunderan HI),55,70,33,16,14,30,70,PM25
183,2021-07-03,DKI1 (Bunderan HI),58,81,33,12,19,25,81,PM25
184,2021-07-04,DKI1 (Bunderan HI),68,102,27,11,27,22,102,PM25
185,2021-07-05,DKI1 (Bunderan HI),71,106,28,12,34,25,106,PM25
186,2021-07-06,DKI1 (Bunderan HI),56,74,26,9,29,29,74,PM25
187,2021-07-07,DKI1 (Bunderan HI),64,86,34,10,22,27,86,PM25
188,2021-07-08,DKI1 (Bunderan HI),68,94,32,10,26,26,94,PM25
189,2021-07-09,DKI1 (Bunderan HI),70,101,33,9,28,25,101,PM25
190,2021-07-10,DKI1 (Bunderan HI),64,83,35,7,24,23,83,PM25
191,2021-07-11,DKI1 (Bunderan HI),54,71,32,6,21,15,71,PM25
192,2021-07-12,DKI1 (Bunderan HI),46,59,29,5,18,13,59,PM25
193,2021-07-13,DKI1 (Bunderan HI),63,89,33,10,18,24,89,PM25
194,2021-07-14,DKI1 (Bunderan HI),53,69,28,10,17,23,69,PM25
195,2021-07-15,DKI1 (Bunderan HI),66,95,31,12,24,30,95,PM25
196,2021-07-16,DKI1 (Bunderan HI),71,97,30,11,24,29,97,PM25
197,2021-07-17,DKI1 (Bunderan HI),63,80,29,8,28,20,80,PM25
198,2021-07-18,DKI1 (Bunderan HI),63,89,31,8,32,19,89,PM25
199,2021-07-19,DKI1 (Bunderan HI),66,95,26,10,32,28,95,PM25
200,2021-07-20,DKI1 (Bunderan HI),74,100,27,15,24,24,100,PM25
201,2021-07-21,DKI1 (Bunderan HI),48,66,27,7,26,17,66,PM25
202,2021-07-22,DKI1 (Bunderan HI),53,76,31,9,24,26,76,PM25
203,2021-07-23,DKI1 (Bunderan HI),58,80,26,9,27,28,80,PM25
204,2021-07-24,DKI1 (Bunderan HI),53,79,26,13,21,34,79,PM25
205,2021-07-25,DKI1 (Bunderan HI),70,108,25,23,28,38,108,PM25
206,2021-07-26,DKI1 (Bunderan HI),65,95,27,14,17,32,95,PM25
207,2021-07-27,DKI1 (Bunderan HI),61,91,29,10,23,28,91,PM25
208,2021-07-28,DKI1 (Bunderan HI),68,102,31,13,20,30,102,PM25
209,2021-07-29,DKI1 (Bunderan HI),59,85,28,13,24,32,85,PM25
210,2021-07-30,DKI1 (Bunderan HI),73,105,29,12,39,35,105,PM25
211,2021-07-31,DKI1 (Bunderan HI),54,72,26,7,27,24,72,PM25
212,2021-08-01,DKI1 (Bunderan HI),51,68,25,8,29,22,68,PM25
213,2021-08-02,DKI1 (Bunderan HI),47,63,24,10,25,28,63,PM25
214,2021-08-03,DKI1 (Bunderan HI),50,68,26,11,19,35,68,PM25
215,2021-08-04,DKI1 (Bunderan HI),52,70,29,8,24,26,70,PM25
216,2021-08-05,DKI1 (Bunderan HI),52,66,29,9,21,27,66,PM25
217,2021-08-06,DKI1 (Bunderan HI),56,73,28,15,11,28,73,PM25
218,2021-08-07,DKI1 (Bunderan HI),55,71,31,7,18,18,71,PM25
219,2021-08-08,DKI1 (Bunderan HI),53,69,33,6,23,16,69,PM25
220,2021-08-09,DKI1 (Bunderan HI),52,60,30,6,25,15,60,PM25
221,2021-08-10,DKI1 (Bunderan HI),32,50,25,7,29,16,50,PM25
222,2021-08-11,DKI1 (Bunderan HI),55,73,25,10,24,25,73,PM25
223,2021-08-12,DKI1 (Bunderan HI),55,70,28,8,20,19,70,PM25
224,2021-08-13,DKI1 (Bunderan HI),56,75,28,10,17,28,75,PM25
225,2021-08-14,DKI1 (Bunderan HI),65,92,30,15,24,36,92,PM25
226,2021-08-15,DKI1 (Bunderan HI),56,72,31,8,17,20,72,PM25
227,2021-08-16,DKI1 (Bunderan HI),53,70,30,8,17,19,70,PM25
228,2021-08-17,DKI1 (Bunderan HI),56,77,28,13,26,22,77,PM25
229,2021-08-18,DKI1 (Bunderan HI),59,78,25,11,27,26,78,PM25
230,2021-08-19,DKI1 (Bunderan HI),60,89,31,15,24,35,89,PM25
231,2021-08-20,DKI1 (Bunderan HI),58,84,29,11,32,34,84,PM25
232,2021-08-21,DKI1 (Bunderan HI),59,80,25,13,26,35,80,PM25
233,2021-08-22,DKI1 (Bunderan HI),59,81,28,14,25,28,81,PM25
234,2021-08-23,DKI1 (Bunderan HI),56,77,28,10,25,27,77,PM25
235,2021-08-24,DKI1 (Bunderan HI),59,87,27,12,32,30,87,PM25
236,2021-08-25,DKI1 (Bunderan HI),62,89,26,12,34,34,89,PM25
237,2021-08-26,DKI1 (Bunderan HI),56,77,27,10,22,33,77,PM25
238,2021-08-27,DKI1 (Bunderan HI),62,89,30,11,25,31,89,PM25
239,2021-08-28,DKI1 (Bunderan HI),65,93,26,11,40,27,93,PM25
240,2021-08-29,DKI1 (Bunderan HI),65,96,28,12,30,29,96,PM25
241,2021-08-30,DKI1 (Bunderan HI),79,112,27,17,39,41,112,PM25
242,2021-08-31,DKI1 (Bunderan HI),64,86,27,12,35,33,86,PM25
243,2021-09-01,DKI1 (Bunderan HI),63,88,29,15,24,38,88,PM25
244,2021-09-02,DKI1 (Bunderan HI),60,83,29,11,30,28,83,PM25
245,2021-09-03,DKI1 (Bunderan HI),60,82,27,11,37,30,82,PM25
246,2021-09-04,DKI1 (Bunderan HI),58,77,26,10,31,28,77,PM25
247,2021-09-05,DKI1 (Bunderan HI),63,85,27,11,28,28,85,PM25
248,2021-09-06,DKI1 (Bunderan HI),68,92,31,11,26,24,92,PM25
249,2021-09-07,DKI1 (Bunderan HI),52,65,28,9,19,24,65,PM25
250,2021-09-08,DKI1 (Bunderan HI),53,76,25,16,23,34,76,PM25
251,2021-09-09,DKI1 (Bunderan HI),45,62,25,12,27,31,62,PM25
252,2021-09-10,DKI1 (Bunderan HI),51,66,27,10,25,32,66,PM25
253,2021-09-11,DKI1 (Bunderan HI),66,93,32,12,34,41,93,PM25
254,2021-09-12,DKI1 (Bunderan HI),61,80,26,10,28,27,80,PM25
255,2021-09-13,DKI1 (Bunderan HI),51,64,29,8,23,21,64,PM25
256,2021-09-14,DKI1 (Bunderan HI),31,42,24,8,20,19,42,PM25
257,2021-09-15,DKI1 (Bunderan HI),54,81,29,20,20,45,81,PM25
258,2021-09-16,DKI1 (Bunderan HI),48,65,29,9,23,24,65,PM25
259,2021-09-17,DKI1 (Bunderan HI),42,66,29,7,26,20,66,PM25
260,2021-09-18,DKI1 (Bunderan HI),50,73,29,8,23,22,73,PM25
261,2021-09-19,DKI1 (Bunderan HI),53,78,26,8,33,19,78,PM25
262,2021-09-20,DKI1 (Bunderan HI),51,69,27,10,25,34,69,PM25
263,2021-09-21,DKI1 (Bunderan HI),55,81,28,11,29,36,81,PM25
264,2021-09-22,DKI1 (Bunderan HI),57,80,29,11,24,32,80,PM25
265,2021-09-23,DKI1 (Bunderan HI),54,80,29,8,27,22,80,PM25
266,2021-09-24,DKI1 (Bunderan HI),57,74,34,8,20,26,74,PM25
267,2021-09-25,DKI1 (Bunderan HI),49,67,31,7,24,20,67,PM25
268,2021-09-26,DKI1 (Bunderan HI),52,72,28,6,28,19,72,PM25
269,2021-09-27,DKI1 (Bunderan HI),51,72,27,12,22,33,72,PM25
270,2021-09-28,DKI1 (Bunderan HI),45,63,25,9,24,28,63,PM25
271,2021-09-29,DKI1 (Bunderan HI),54,76,26,12,29,38,76,PM25
272,2021-09-30,DKI1 (Bunderan HI),63,94,27,13,38,37,94,PM25
273,2021-10-01,DKI1 (Bunderan HI),57,81,30,11,32,38,81,PM25
274,2021-10-02,DKI1 (Bunderan HI),67,99,32,11,30,35,99,PM25
275,2021-10-03,DKI1 (Bunderan HI),70,85,29,10,28,28,85,PM25
276,2021-10-04,DKI1 (Bunderan HI),58,82,30,11,34,29,82,PM25
277,2021-10-05,DKI1 (Bunderan HI),55,76,29,11,30,33,76,PM25
278,2021-10-06,DKI1 (Bunderan HI),60,83,38,10,26,35,83,PM25
279,2021-10-07,DKI1 (Bunderan HI),45,62,29,9,21,28,62,PM25
280,2021-10-08,DKI1 (Bunderan HI),54,77,33,11,24,35,77,PM25
281,2021-10-09,DKI1 (Bunderan HI),52,69,27,9,32,29,69,PM25
282,2021-10-10,DKI1 (Bunderan HI),58,83,26,9,38,26,83,PM25
283,2021-10-11,DKI1 (Bunderan HI),59,80,29,10,35,30,80,PM25
284,2021-10-12,DKI1 (Bunderan HI),56,76,37,9,23,35,76,PM25
285,2021-10-13,DKI1 (Bunderan HI),52,67,28,8,25,31,67,PM25
286,2021-10-14,DKI1 (Bunderan HI),64,90,33,11,35,35,90,PM25
287,2021-10-15,DKI1 (Bunderan HI),75,106,29,12,34,37,106,PM25
288,2021-10-16,DKI1 (Bunderan HI),66,95,28,15,32,44,95,PM25
289,2021-10-17,DKI1 (Bunderan HI),65,93,34,11,36,30,93,PM25
290,2021-10-18,DKI1 (Bunderan HI),44,55,25,9,19,26,55,PM25
291,2021-10-19,DKI1 (Bunderan HI),41,58,29,14,15,30,58,PM25
292,2021-10-20,DKI1 (Bunderan HI),33,53,29,10,21,27,53,PM25
293,2021-10-21,DKI1 (Bunderan HI),45,65,25,9,28,32,65,PM25
294,2021-10-22,DKI1 (Bunderan HI),64,95,31,18,19,48,95,PM25
295,2021-10-23,DKI1 (Bunderan HI),57,83,29,10,20,36,83,PM25
296,2021-10-24,DKI1 (Bunderan HI),58,85,27,11,28,36,85,PM25
297,2021-10-25,DKI1 (Bunderan HI),62,95,27,14,33,37,95,PM25
298,2021-10-26,DKI1 (Bunderan HI),55,78,29,14,23,43,78,PM25
299,2021-10-27,DKI1 (Bunderan HI),55,76,29,15,22,39,76,PM25
300,2021-10-28,DKI1 (Bunderan HI),51,69,28,16,22,39,69,PM25
301,2021-10-29,DKI1 (Bunderan HI),50,64,31,19,18,35,64,PM25
302,2021-10-30,DKI1 (Bunderan HI),48,68,31,12,25,40,68,PM25
303,2021-10-31,DKI1 (Bunderan HI),53,70,27,11,32,32,70,PM25
304,2021-11-01,DKI1 (Bunderan HI),58,85,32,16,22,41,85,PM25
305,2021-11-02,DKI1 (Bunderan HI),50,63,29,14,22,35,63,PM25
306,2021-11-03,DKI1 (Bunderan HI),49,63,33,13,21,38,63,PM25
307,2021-11-04,DKI1 (Bunderan HI),57,83,30,17,34,47,83,PM25
308,2021-11-05,DKI1 (Bunderan HI),56,75,31,19,18,46,75,PM25
309,2021-11-06,DKI1 (Bunderan HI),55,72,30,13,22,40,72,PM25
310,2021-11-07,DKI1 (Bunderan HI),38,56,27,8,23,25,56,PM25
311,2021-11-08,DKI1 (Bunderan HI),38,55,29,18,15,32,55,PM25
312,2021-11-09,DKI1 (Bunderan HI),55,73,32,14,17,38,73,PM25
313,2021-11-10,DKI1 (Bunderan HI),38,55,28,10,16,25,55,PM25
314,2021-11-11,DKI1 (Bunderan HI),41,55,48,12,13,15,55,PM25
315,2021-11-12,DKI1 (Bunderan HI),32,49,31,10,16,9,49,PM25
316,2021-11-13,DKI1 (Bunderan HI),51,70,36,16,27,12,70,PM25
317,2021-11-14,DKI1 (Bunderan HI),42,53,29,11,18,7,53,PM25
318,2021-11-15,DKI1 (Bunderan HI),27,39,30,8,16,7,39,PM25
319,2021-11-16,DKI1 (Bunderan HI),31,47,31,8,11,6,47,PM25
320,2021-11-17,DKI1 (Bunderan HI),55,71,50,13,15,9,71,PM25
321,2021-11-18,DKI1 (Bunderan HI),55,75,43,18,19,13,75,PM25
322,2021-11-19,DKI1 (Bunderan HI),28,40,31,7,16,5,40,PM25
323,2021-11-20,DKI1 (Bunderan HI),28,44,33,7,13,6,44,PM25
324,2021-11-21,DKI1 (Bunderan HI),41,54,33,15,16,6,54,PM25
325,2021-11-22,DKI1 (Bunderan HI),27,33,32,7,14,5,33,PM25
326,2021-11-23,DKI1 (Bunderan HI),20,30,32,7,13,5,32,SO2
327,2021-11-24,DKI1 (Bunderan HI),23,35,30,8,12,6,35,PM25
328,2021-11-25,DKI1 (Bunderan HI),39,57,34,10,11,7,57,PM25
329,2021-11-26,DKI1 (Bunderan HI),34,56,32,12,9,7,56,PM25
330,2021-11-27,DKI1 (Bunderan HI),30,37,30,10,8,5,37,PM25
331,2021-11-28,DKI1 (Bunderan HI),19,20,29,5,14,4,29,SO2
332,2021-11-29,DKI1 (Bunderan HI),23,28,30,7,12,5,30,SO2
333,2021-11-30,DKI1 (Bunderan HI),29,50,31,9,18,7,50,PM25
334,2021-12-01,DKI1 (Bunderan HI),49,65,33,13,15,12,65,PM25
335,2021-12-02,DKI1 (Bunderan HI),28,34,31,7,15,5,34,PM25
336,2021-12-03,DKI1 (Bunderan HI),49,31,9,19,7,49,PM25,BAIK
337,2021-12-04,DKI1 (Bunderan HI),39,52,35,13,15,9,52,PM25
338,2021-12-05,DKI1 (Bunderan HI),41,57,39,15,15,9,57,PM25
